"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1","30,1","100,1","100,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"2","30,1","30,1","30,1","30,1","30,1","30,1","100,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"3","100,1","100,1","100,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"4","100,1","100,1","100,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"5","30,1","100,1","100,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"6","100,1","30,1","100,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"7","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"8","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"9","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"10","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"11","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"12","100,1","100,1","100,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"13","100,1","100,1","100,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"14","100,1","100,1","tooManyAccidents","tooManyAccidents","tooManyAccidents","tooManyAccidents","tooManyAccidents","tooManyAccidents","tooManyAccidents","tooManyAccidents","tooManyAccidents","tooManyAccidents","tooManyAccidents","tooManyAccidents","tooManyAccidents","tooManyAccidents","tooManyAccidents","tooManyAccidents","tooManyAccidents","tooManyAccidents"
"15","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"16","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"17","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"18","100,1","100,1","100,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"19","100,1","100,1","100,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"20","100,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"21","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"22","100,1","100,1","100,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"23","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"24","100,1","100,1","100,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"25","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"26","100,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"27","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"28","30,1","100,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"29","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"30","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"31","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"32","100,1","100,1","100,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"33","100,1","100,1","100,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"34","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"35","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"36","100,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"37","30,1","100,1","100,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"38","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"39","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"40","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"41","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"42","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"43","30,1","30,1","100,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"44","100,1","100,1","100,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"45","100,1","100,1","100,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"46","100,1","100,1","100,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"47","100,1","100,1","100,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"48","100,1","100,1","100,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"49","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
"50","100,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1","30,1"
